text,label
오늘 강아지랑 산책했어,다이어리 작성
우리 강아지 일기 써줘,다이어리 작성
오늘 있었던 일 강아지 시점으로 써줘,다이어리 작성
강아지가 오늘 목욕했어,다이어리 작성
오늘 강아지가 간식을 처음 먹었어,다이어리 작성
강아지 일기 작성해줘,다이어리 작성
오늘 강아지가 놀이터에서 친구 만났어,다이어리 작성
강아지 오늘의 하루 기록해줘,다이어리 작성
우리 강아지 관점으로 오늘 일기 써줘,다이어리 작성
강아지 일상 기록 남겨줘,다이어리 작성
강아지랑 갈 수 있는 홍대 카페 알려줘,장소추천
반려견 동반 가능한 식당 추천해줘,장소추천
강아지 입장 가능한 공원 어디야?,장소추천
우리 강아지 데리고 갈 수 있는 카페 있어?,장소추천
펫프렌들리 레스토랑 추천해줘,장소추천
강남 근처 반려견 동반 카페 알려줘,장소추천
강아지랑 같이 갈 수 있는 곳 추천,장소추천
애견동반 가능한 식당 찾아줘,장소추천
반려견이랑 갈 수 있는 근처 공원,장소추천
강아지 입장 되는 카페 어디야,장소추천
이 카페 울타리 있어?,시설정보
강아지 체중 제한 있는 카페야?,시설정보
주차 가능한지 알고 싶어,시설정보
실내인지 실외인지 알려줘,시설정보
이 식당 예약 가능해?,시설정보
여기 소형견만 되나요?,시설정보
이 공원 목줄 필수야?,시설정보
운영 시간 알려줘,시설정보
이 카페 반려견 메뉴 있어?,시설정보
여기 입장료 있어?,시설정보
오늘 강아지가 공원에서 뛰어놀았어,다이어리 작성
우리 강아지 처음으로 바다에 갔어,다이어리 작성
오늘 강아지 병원 다녀왔어,다이어리 작성
강아지가 새 장난감을 받고 좋아했어,다이어리 작성
오늘 강아지랑 드라이브 갔다왔어,다이어리 작성
강아지가 처음으로 계단을 올라갔어,다이어리 작성
우리 강아지 오늘 예방접종 맞았어,다이어리 작성
오늘 강아지랑 집에서 뒹굴었어,다이어리 작성
강아지가 처음 수영했던 날이야,다이어리 작성
오늘 강아지가 새 간식을 좋아했어,다이어리 작성
강아지 관점에서 오늘을 써줘,다이어리 작성
오늘 강아지랑 있었던 일 기록해줘,다이어리 작성
강아지가 오늘 많이 짖었어,다이어리 작성
우리 강아지 처음 미용실 갔어,다이어리 작성
오늘 강아지가 친구 강아지랑 싸웠어,다이어리 작성
강아지랑 한강 갔다온 이야기 써줘,다이어리 작성
오늘 강아지가 밥을 안 먹었어,다이어리 작성
우리 강아지 오늘 생일이야,다이어리 작성
강아지가 오늘 새 친구 사귀었어,다이어리 작성
오늘 강아지랑 캠핑 갔어,다이어리 작성
강아지 시점 일기 하나 만들어줘,다이어리 작성
우리 강아지 오늘 처음 산책했어,다이어리 작성
오늘 강아지가 간식 훔쳐 먹었어,다이어리 작성
강아지가 오늘 혼자 있었어,다이어리 작성
오늘 강아지가 많이 피곤해 보였어,다이어리 작성
강아지랑 오늘 즐거웠던 기억 기록해줘,다이어리 작성
우리 강아지 오늘 털갈이 심해,다이어리 작성
오늘 강아지가 내 손을 핥았어,다이어리 작성
강아지가 오늘 무지개 다리 건넜어,다이어리 작성
오늘 강아지랑 카페 다녀왔어,다이어리 작성
강아지 입장에서 오늘 일기 써줄래,다이어리 작성
우리 강아지 새로운 가족 만났어,다이어리 작성
오늘 강아지 훈련시켰어,다이어리 작성
강아지가 오늘 말을 안 들었어,다이어리 작성
오늘 강아지랑 놀이공원 갔어,다이어리 작성
강아지 오늘 하루 일기로 정리해줘,다이어리 작성
우리 강아지 오늘 입양 1주년이야,다이어리 작성
오늘 강아지랑 낮잠 잤어,다이어리 작성
강아지가 오늘 내 신발 물어뜯었어,다이어리 작성
오늘 강아지가 처음으로 앉아를 했어,다이어리 작성
강아지 마음으로 일기 써줘,다이어리 작성
우리 강아지 오늘 우울해 보여,다이어리 작성
오늘 강아지가 거울 보고 놀랐어,다이어리 작성
강아지랑 오늘 비 맞으면서 산책했어,다이어리 작성
오늘 강아지가 TV를 봤어,다이어리 작성
강아지가 오늘 처음 달렸어,다이어리 작성
오늘 강아지랑 야경 보러 갔어,다이어리 작성
우리 강아지 오늘 피곤해서 일찍 잤어,다이어리 작성
오늘 강아지가 이상한 소리를 냈어,다이어리 작성
강아지 시점으로 하루 요약해줘,다이어리 작성
오늘 강아지랑 사진 많이 찍었어,다이어리 작성
강아지가 오늘 새로운 길을 갔어,다이어리 작성
오늘 강아지가 나를 깨웠어,다이어리 작성
우리 강아지 오늘 감기 걸렸어,다이어리 작성
오늘 강아지랑 숲길 산책했어,다이어리 작성
강아지가 오늘 택배 보고 짖었어,다이어리 작성
오늘 강아지 처음 유치원 보냈어,다이어리 작성
강아지 입장 일기로 오늘 남겨줘,다이어리 작성
우리 강아지 오늘 산책 거부했어,다이어리 작성
오늘 강아지가 새 옷 입었어,다이어리 작성
강아지가 오늘 발을 다쳤어,다이어리 작성
오늘 강아지랑 해변 갔다왔어,다이어리 작성
강아지 시점으로 오늘 추억 정리해줘,다이어리 작성
우리 강아지 오늘 많이 놀았어,다이어리 작성
오늘 강아지가 처음으로 차를 탔어,다이어리 작성
강아지가 오늘 무서워했어,다이어리 작성
오늘 강아지랑 눈밭에서 뛰어놀았어,다이어리 작성
강아지 오늘 하루 써줘,다이어리 작성
우리 강아지 오늘 너무 귀여웠어,다이어리 작성
오늘 강아지가 이웃 강아지 만났어,다이어리 작성
강아지가 오늘 처음 미역국 먹었어,다이어리 작성
